AniList 标签,分类,成人标签,AniList 定义,优化前译名,建议译名,采用译名,变更类型,状态,问题说明,参考语境,来源
Cute Boys Doing Cute Things,Theme-Slice of Life,否,"Centers around male characters doing cute activities, usually with little to no emphasis on drama and conflict.",男子萌系日常,萌系男子日常,萌系男子日常,优化,已采用,由“男子萌系日常”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cute Girls Doing Cute Things,Theme-Slice of Life,否,"Centers around female characters doing cute activities, usually with little to no emphasis on drama and conflict.
",女子萌系日常,萌系少女日常,萌系少女日常,优化,已采用,由“女子萌系日常”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cyberpunk,Theme-Sci-Fi,否,Set in a future of advanced technological and scientific achievements that have resulted in social disorder.,赛博朋克,赛博朋克,赛博朋克,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cyborg,Cast-Traits,否,Prominently features a human character whose physiological functions are aided or enhanced by artificial means.,半机械人,半机械人,半机械人,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Cycling,Theme-Game-Sport,否,Centers around the sport of cycling.,自行车,自行车,自行车,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Dancing,Theme-Arts-Music,否,Centers around the art of dance.,舞蹈,舞蹈,舞蹈,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Death Game,Theme-Other,否,"Features characters participating in a game, where failure results in death.",死亡游戏,死亡游戏,死亡游戏,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Deepthroat,Sexual Content,是,"Features oral sex where the majority of the erect male genitalia is inside another person's mouth, usually stimulating some gagging in the back of their throat.",,深喉,深喉,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Defloration,Sexual Content,是,Features a female character who has never had sexual relations (until now).,,破处,破处,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Delinquents,Cast-Traits,否,"Features characters with a notorious image and attitude, sometimes referred to as ""yankees"".",不良少年,不良,不良,优化,已采用,由“不良少年”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Demons,Cast-Traits,否,Prominently features malevolent otherworldly creatures.,恶魔,恶魔,恶魔,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Denpa,Theme-Other,否,"Works that feature themes of social dissociation, delusions, and other issues like suicide, bullying, self-isolation, paranoia, and technological necessity in daily lives. Classic iconography: telephone poles, rooftops, and trains.",电波系,电波系,电波系,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Desert,Setting-Scene,否,Prominently features a desert environment.,沙漠,沙漠,沙漠,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Detective,Cast-Traits,否,Features a character who investigates and solves crimes.,侦探,侦探,侦探,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
DILF,Sexual Content,是,Features sexual intercourse with older men.,,熟男,熟男,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Dinosaurs,Cast-Traits,否,"Prominently features Dinosaurs, prehistoric reptiles that went extinct millions of years ago.",恐龙,恐龙,恐龙,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Disability,Cast-Traits,否,"A work that features one or more characters with a physical, mental, cognitive, or developmental condition that impairs, interferes with, or limits the person's ability to engage in certain tasks or actions.",残障,残障,残障,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Dissociative Identities,Cast-Traits,否,A case where one or more people share the same body.,解离性身份,多重人格,多重人格,优化,已采用,由“解离性身份”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Double Penetration,Sexual Content,是,A sexual act in which the vagina/anus are penetrated by two penises/toys.,,双重插入,双重插入,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Dragons,Cast-Traits,否,Prominently features mythical reptiles which generally have wings and can breathe fire.,龙,龙,龙,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Drawing,Theme-Arts,否,"Centers around the art of drawing, including manga and doujinshi.",绘画,绘画,绘画,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Drugs,Theme-Other,否,"Prominently features the usage of drugs such as opioids, stimulants, hallucinogens etc.",毒品,毒品,毒品,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Dullahan,Cast-Traits,否,"Prominently features a character who is a Dullahan, a creature from Irish Folklore with a head that can be detached from its main body.",无头骑士,无头骑士,无头骑士,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Dungeon,Setting-Scene,否,Prominently features a dungeon environment.,地下城,地下城,地下城,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Dystopian,Setting-Time,否,"Partly or completely set in a society characterized by poverty, squalor or oppression.",反乌托邦,反乌托邦,反乌托邦,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
E-Sports,Theme-Game,否,"Prominently features professional video game competitions, tournaments, players, etc.",电子竞技,电子竞技,电子竞技,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Eco-Horror,Theme-Drama,否,Utilizes a horrifying depiction of ecology to explore man and its relationship with nature.,,生态恐怖,生态恐怖,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Economics,Theme-Other,否,Centers around the field of economics.,经济学,经济学,经济学,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Educational,Theme-Other,否,Primary aim is to educate the audience.,教育,教育,教育,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Elderly Protagonist,Cast-Main Cast,否,"The protagonist is either over 60 years of age, has an elderly appearance, or, in the case of non-humans, is considered elderly for their species.",,老年主角,老年主角,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Elf,Cast-Traits,否,Prominently features a character who is an elf.,精灵,精灵,精灵,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ensemble Cast,Cast-Main Cast,否,Features a large cast of characters with (almost) equal screen time and importance to the plot.,群像剧,群像剧,群像剧,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Environmental,Theme-Other,否,Concern with the state of the natural world and how humans interact with it.,环保,环保,环保,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Episodic,Technical,否,Features story arcs that are loosely tied or lack an overarching plot.,单元剧,单元剧,单元剧,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ero Guro,Theme-Other,否,"Japanese literary and artistic movement originating in the 1930's. Works have a focus on grotesque eroticism, sexual corruption, and decadence.",猎奇,情色猎奇,情色猎奇,优化,已采用,由“猎奇”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Erotic Piercings,Sexual Content,是,"Features a type of body modification designed to enhance sexual pleasure and intimacy, and/or decoratively adorns portions of the body considered sexual in nature.",,情趣穿孔,情趣穿孔,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Espionage,Theme-Action,否,Prominently features characters infiltrating an organization in order to steal sensitive information.,间谍,间谍,间谍,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Estranged Family,Cast-Main Cast,否,At least one family member of the MC intentionally distances themselves or a family distances themselves from a person related to the MC.,,家庭疏离,家庭疏离,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Exhibitionism,Sexual Content,是,Features the act of exposing oneself in public for sexual pleasure.,,露出,露出,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Exiled,Theme-Other,否,Features a character or characters that get banished or ostracized from a place or group they belonged to.,,放逐,放逐,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Exorcism,Theme-Fantasy,否,"Involving religious methods of vanquishing youkai, demons, or other supernatural entities.",,驱魔,驱魔,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Facial,Sexual Content,是,Features sexual ejaculation onto an individual's face.,,颜射,颜射,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fairy,Cast-Traits,否,Prominently features a character who is a fairy.,妖精,妖精,妖精,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fairy Tale,Theme-Fantasy,否,"This work tells a fairy tale, centers around fairy tales, or is based on a classic fairy tale.",童话,童话,童话,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fake Relationship,Theme-Drama,否,When two characters enter a fake relationship that mutually benefits one or both involved.,,假扮情侣,假扮情侣,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Family Life,Theme-Slice of Life,否,Centers around the activities of a family unit.,家庭生活,家庭生活,家庭生活,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fashion,Theme-Arts,否,Centers around the fashion industry.,时尚,时尚,时尚,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Feet,Sexual Content,是,Features the sexual depiction or stimulation of a character's feet.,,足控,足控,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fellatio,Sexual Content,是,Blowjob; features oral sex performed on male genitalia.,,口交,口交,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Female Harem,Theme-Romance,否,Main cast features the protagonist plus several female characters who are romantically interested in them.,后宫（女）,后宫,后宫,优化,已采用,由“后宫（女）”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Female Protagonist,Cast-Main Cast,否,Main character is female.,女主角,女主角,女主角,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Femboy,Cast-Traits,否,Features a boy who exhibits characteristics or behaviors considered in many cultures to be typical of girls.,伪娘,伪娘,伪娘,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Femdom,Sexual Content,是,Female Dominance. Features sexual acts with a woman in a dominant position.,,女王调教,女王调教,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fencing,Theme-Game-Sport,否,Centers around the sport of fencing.,击剑,击剑,击剑,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Filmmaking,Theme-Other,否,Centers around the art of filmmaking.,,电影制作,电影制作,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fingering,Sexual Content,是,Features vaginal or anal insertion of fingers.,,指交,指交,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Firefighters,Theme-Other-Organisations,否,Centered around the life and activities of rescuers specialised in firefighting.,消防员,消防员,消防员,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fishing,Theme-Game-Sport,否,Centers around the sport of fishing.,钓鱼,钓鱼,钓鱼,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fisting,Sexual Content,是,A sexual activity that involves inserting one or more hands into the vagina or rectum.,,拳交,拳交,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fitness,Theme-Game-Sport,否,Centers around exercise with the aim of improving physical health.,健身,健身,健身,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Flash,Technical,否,Created using Flash animation techniques.,闪光,Flash动画,Flash动画,优化,已采用,由“闪光”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Flat Chest,Sexual Content,是,Features a female character with smaller-than-average breasts.,,贫乳,贫乳,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Food,Theme-Arts,否,Centers around cooking or food appraisal.,美食,美食,美食,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Football,Theme-Game-Sport,否,"Centers around the sport of football (known in the USA as ""soccer"").",足球,足球,足球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Foreign,Setting-Scene,否,Partly or completely set in a country outside the country of origin.,异国,异国背景,异国背景,优化,已采用,由“异国”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Found Family,Theme-Other,否,Features a group of characters with no biological relations that are united in a group providing social support.,非血缘家人,非血缘家庭,非血缘家庭,优化,已采用,由“非血缘家人”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Fugitive,Theme-Action,否,Prominently features a character evading capture by an individual or organization.,逃亡者,逃亡者,逃亡者,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Full CGI,Technical,否,Almost entirely created with computer-generated imagery.,全CGI,全3DCG,全3DCG,优化,已采用,由“全CGI”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Full Color,Technical,否,Manga that were initially published in full color.,全彩,全彩,全彩,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Futanari,Sexual Content,是,Features female characters with male genitalia.,,扶她,扶她,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Gambling,Theme-Other,否,Centers around the act of gambling.,赌博,赌博,赌博,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Gangs,Theme-Other-Organisations,否,Centers around gang organizations.,帮派,帮派,帮派,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Gekiga,Technical,否,An alternative comics movement of mature manga with stylized and cinematic visuals predominantly from the late 1950s through 1970s.,,剧画,剧画,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Gender Bending,Theme-Other,否,"Prominently features a character who dresses and behaves in a way characteristic of another gender, or has been transformed into a person of another gender.",性别转换,性转,性转,优化,已采用,由“性别转换”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ghost,Cast-Traits,否,Prominently features a character who is a ghost.,幽灵,幽灵,幽灵,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Go,Theme-Game-Card & Board Game,否,Centered around the game of Go.,围棋,围棋,围棋,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Goblin,Cast-Traits,否,"A goblin is a monstrous creature from European folklore. They are almost always small and grotesque, mischievous or outright malicious, and greedy. Sometimes with magical abilities.",哥布林,哥布林,哥布林,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Gods,Cast-Traits,否,Prominently features a character of divine or religious nature.,神明,神明,神明,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Golf,Theme-Game-Sport,否,Centers around the sport of golf.,高尔夫,高尔夫,高尔夫,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Gore,Theme-Other,否,Prominently features graphic bloodshed and violence.,血腥,血腥,血腥,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Graduation Project,Technical,否,"A work made by students in place of an exam, typically at higher levels of education, either as a work for the entire course or as a work for a specific year of a course.",,毕业作品,毕业作品,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Group Sex,Sexual Content,是,Features more than two participants engaged in sex simultaneously.,,群交,群交,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Guns,Theme-Action,否,Prominently features the use of guns in combat.,枪械,枪械,枪械,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Gyaru,Cast-Traits,否,"Prominently features a female character who has a distinct American-emulated fashion style, such as tanned skin, bleached hair, and excessive makeup. Also known as gal.",辣妹,辣妹,辣妹,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Hair Pulling,Sexual Content,是,A sexual act in which the giver will grab the receivers hair and tug whilst giving pleasure from behind.,,扯发,扯发,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Handball,Theme-Game-Sport,否,Centers around the sport of handball.,手球,手球,手球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Handjob,Sexual Content,是,Features the stimulation of genitalia by another's hands.,,手交,手交,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Henshin,Theme-Fantasy,否,Prominently features character or costume transformations which often grant special abilities.,变身,变身,变身,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Heterosexual,Theme-Romance,否,"Prominently features a romance between a man and a woman, not inherently sexual.",异性恋,异性恋,异性恋,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Hikikomori,Cast-Traits,否,"Prominently features a character who withdraws from social life, often seeking extreme isolation.",家里蹲,家里蹲,家里蹲,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Hip-hop Music,Theme-Arts-Music,否,"Centers on the musical style of hip-hop, not to be applied to anime that use hip-hop in its soundtrack.",,嘻哈音乐,嘻哈音乐,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Historical,Setting-Time,否,Partly or completely set during a real period of world history.,历史,历史,历史,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Homeless,Cast-Traits,否,Prominently features a character that is homeless.,无家可归,无家可归,无家可归,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Horticulture,Theme-Slice of Life,否,The story prominently features plant care and gardening.,,园艺,园艺,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Human Experimentation,Theme-Other,否,Features experiments that use human and humanoid beings as test subjects.,,人体实验,人体实验,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Human Pet,Sexual Content,是,"Features characters in a master-slave relationship where one is the ""owner"" and the other is a ""pet.""",,人宠,人宠,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Hypersexuality,Sexual Content,是,"Portrays a character with a hypersexuality disorder, compulsive sexual behavior, or sex addiction.",,性欲亢进,性欲亢进,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ice Sports,Theme-Game-Sport,否,Centers around Ice Sports.,,冰上运动,冰上运动,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Idol,Cast-Traits,否,Centers around the life and activities of an idol.,偶像,偶像,偶像,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Incest,Theme-Romance,否,Features sexual or romantic relations between characters who are related by blood.,,乱伦,乱伦,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
